Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose,Bivalent.Booster.1
2020-12-23,McKean,67,NA,NA,NA,NA
2020-12-23,Mercer,118,NA,NA,NA,NA
2020-12-23,Mifflin,48,NA,NA,NA,NA
2020-12-23,Monroe,204,NA,NA,NA,NA
2022-02-23,Philadelphia,544,740,692,NA,NA
2020-12-23,Montour,76,NA,NA,NA,NA
2020-12-23,Northampton,834,NA,NA,NA,NA
2020-12-23,Northumberland,66,NA,NA,NA,NA
2020-12-23,Pike,23,NA,NA,NA,NA
2020-12-23,Potter,36,NA,NA,NA,NA
2020-12-23,Schuylkill,253,NA,NA,NA,NA
2020-12-23,Somerset,132,NA,NA,NA,NA
2020-12-23,Sullivan,3,NA,NA,NA,NA
2020-12-23,Tioga,88,NA,NA,NA,NA
2020-12-23,Union,28,NA,NA,NA,NA
2022-10-16,Bradford,1,NA,NA,NA,11
2020-12-23,Warren,155,NA,NA,NA,NA
2020-12-23,Wayne,57,NA,NA,NA,NA
2020-12-23,Westmoreland,491,NA,NA,NA,NA
2020-12-23,Wyoming,22,NA,NA,NA,NA
2020-12-23,York,252,NA,NA,NA,NA
2021-01-21,Lancaster,1146,427,NA,NA,NA
2020-12-24,Adams,13,NA,NA,NA,NA
2020-12-24,Allegheny,739,NA,NA,NA,NA
2020-12-24,Armstrong,22,NA,NA,NA,NA
2020-12-24,Beaver,15,1,NA,NA,NA
2020-12-24,Bedford,16,NA,NA,NA,NA
2021-08-26,Dauphin,235,278,42,NA,NA
2020-12-24,Blair,5,NA,NA,NA,NA
2020-12-24,Bradford,3,NA,NA,NA,NA
2021-08-14,Luzerne,170,167,26,NA,NA
2020-12-24,Butler,37,NA,NA,NA,NA
2020-12-24,Cambria,115,NA,NA,NA,NA
2020-12-24,Cameron,1,NA,NA,NA,NA
2020-12-24,Carbon,63,NA,NA,NA,NA
2020-12-24,Centre,13,NA,NA,NA,NA
2020-12-24,Chester,135,NA,NA,NA,NA
2020-12-24,Clarion,11,NA,NA,NA,NA
2020-12-24,Clearfield,33,NA,NA,NA,NA
2020-12-24,Clinton,3,NA,NA,NA,NA
2020-12-24,Columbia,43,NA,NA,NA,NA
2020-12-24,Crawford,7,NA,NA,NA,NA
2020-12-24,Cumberland,46,NA,NA,NA,NA
2021-12-15,Berks,414,275,1495,NA,NA
2020-12-24,Delaware,163,NA,NA,NA,NA
2020-12-24,Elk,2,NA,NA,NA,NA
2020-12-24,Erie,138,NA,NA,NA,NA
2020-12-24,Fayette,25,NA,NA,NA,NA
2020-12-24,Forest,3,NA,NA,NA,NA
2023-01-27,Dauphin,9,4,NA,NA,75
2020-12-24,Fulton,4,NA,NA,NA,NA
2020-12-24,Greene,1,NA,NA,NA,NA
2020-12-24,Indiana,56,NA,NA,NA,NA
2020-12-24,Jefferson,22,NA,NA,NA,NA
2020-12-24,Juniata,7,NA,NA,NA,NA
2021-06-13,Philadelphia,449,1314,NA,NA,NA
2020-12-24,Lawrence,13,NA,NA,NA,NA
2020-12-24,Lebanon,83,NA,NA,NA,NA
2021-03-31,Dauphin,2106,1162,NA,NA,NA
2020-12-24,Luzerne,102,NA,NA,NA,NA
2020-12-24,Lycoming,5,NA,NA,NA,NA
2020-12-24,McKean,64,NA,NA,NA,NA
2020-12-24,Mercer,44,NA,NA,NA,NA
