Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"166,261",0,0,"140,214",0,0,"24,543",0,0,"1,504",0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"118,580",0,0,"78,894",0,0,"38,102",0,0,"1,584",0,0
2024 Presidential Election,LANCASTER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"162,105",0,0,"136,177",0,0,"24,560",0,0,"1,368",0,0
2024 Presidential Election,LAWRENCE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"15,440",0,0,"9,814",0,0,"5,535",0,0,91,0,0
2024 Presidential Election,LAWRENCE,President of the United States,Statewide,Republican,DONALD J TRUMP,"31,347",0,0,"25,669",0,0,"5,560",0,0,118,0,0
2024 Presidential Election,LAWRENCE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"16,176",0,0,"10,466",0,0,"5,624",0,0,86,0,0
2024 Presidential Election,LAWRENCE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"29,405",0,0,"24,019",0,0,"5,278",0,0,108,0,0
2024 Presidential Election,LEBANON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"24,734",0,0,"14,784",0,0,"9,693",0,0,257,0,0
2024 Presidential Election,LEBANON,President of the United States,Statewide,Republican,DONALD J TRUMP,"48,282",0,0,"39,124",0,0,"8,818",0,0,340,0,0
2024 Presidential Election,LEBANON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"24,745",0,0,"14,918",0,0,"9,577",0,0,250,0,0
2024 Presidential Election,LEBANON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"46,172",0,0,"37,312",0,0,"8,552",0,0,308,0,0
2024 Presidential Election,LEHIGH,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"96,317",0,0,"57,279",0,0,"37,587",0,0,"1,451",0,0
2024 Presidential Election,LEHIGH,President of the United States,Statewide,Republican,DONALD J TRUMP,"91,207",0,0,"70,853",0,0,"19,070",0,0,"1,284",0,0
2024 Presidential Election,LEHIGH,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"94,875",0,0,"56,636",0,0,"36,847",0,0,"1,392",0,0
2024 Presidential Election,LEHIGH,United States Senator,Statewide,Republican,DAVE MCCORMICK,"87,147",0,0,"67,257",0,0,"18,763",0,0,"1,127",0,0
2024 Presidential Election,LUZERNE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"62,445",0,0,"36,005",0,0,"25,561",0,0,879,0,0
2024 Presidential Election,LUZERNE,President of the United States,Statewide,Republican,DONALD J TRUMP,"92,397",0,0,"75,152",0,0,"16,119",0,0,"1,126",0,0
2024 Presidential Election,LUZERNE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"64,495",0,0,"37,678",0,0,"25,907",0,0,910,0,0
2024 Presidential Election,LUZERNE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"87,048",0,0,"70,862",0,0,"15,197",0,0,989,0,0
2024 Presidential Election,LYCOMING,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"17,216",0,0,"11,604",0,0,"5,516",0,0,96,0,0
2024 Presidential Election,LYCOMING,President of the United States,Statewide,Republican,DONALD J TRUMP,"41,961",0,0,"34,924",0,0,"6,878",0,0,159,0,0
2024 Presidential Election,LYCOMING,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"17,354",0,0,"11,763",0,0,"5,499",0,0,92,0,0
2024 Presidential Election,LYCOMING,United States Senator,Statewide,Republican,DAVE MCCORMICK,"40,669",0,0,"33,842",0,0,"6,673",0,0,154,0,0
2024 Presidential Election,McKEAN,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"5,115",0,0,"3,422",0,0,"1,669",0,0,24,0,0
2024 Presidential Election,McKEAN,President of the United States,Statewide,Republican,DONALD J TRUMP,"14,401",0,0,"12,317",0,0,"2,035",0,0,49,0,0
